Hidden Nodes,Lambda,training accuracy,validation accuracy,testing accuraacy,time taken
4.0,0.0,66.35600000000001,66.02,65.99000000000001,0.029012996435165406
4.0,5.0,67.732,67.54,68.06,0.03136799764633179
4.0,10.0,65.08,64.87,64.94,0.02974504065513611
4.0,15.0,59.34199999999999,59.11,58.77,0.030166958093643188
4.0,20.0,68.97999999999999,68.47999999999999,68.2,0.03330405902862549
4.0,25.0,52.246,52.01,52.32,0.03034503960609436
4.0,30.0,77.218,76.41,77.3,0.03360600209236145
4.0,35.0,80.692,80.24,80.15,0.033442737102508543
4.0,40.0,77.16199999999999,76.32,76.31,0.030467041015625
4.0,45.0,72.304,72.0,72.46000000000001,0.03360899519920349
4.0,50.0,63.21,63.22,63.72,0.0341929988861084
4.0,55.0,66.09,65.64,66.67,0.032394002676010135
4.0,60.0,70.654,70.59,71.31,0.027808045625686645
8.0,0.0,79.31200000000001,78.43,79.67,0.036503988981246946
8.0,5.0,88.384,87.92,88.09,0.03142604684829712
8.0,10.0,87.614,86.77,87.46000000000001,0.03342399835586548
8.0,15.0,87.62,87.33,87.4,0.031319029808044435
8.0,20.0,88.654,88.0,88.24,0.037438016176223755
8.0,25.0,89.388,89.0,89.64999999999999,0.034044996738433836
8.0,30.0,89.268,88.75,89.47,0.03266502285003662
8.0,35.0,85.776,85.14,85.6,0.03193899083137512
8.0,40.0,88.724,88.29,88.94999999999999,0.0357218017578125
8.0,45.0,89.23,88.19,89.11,0.03390499901771545
8.0,50.0,83.268,82.53,83.73,0.03181999683380127
8.0,55.0,88.642,88.25,88.61,0.03483603239059448
8.0,60.0,89.86800000000001,89.62,89.85,0.033907995700836184
12.0,0.0,92.44,91.67999999999999,92.06,0.038332628965377806
12.0,5.0,91.176,90.53999999999999,91.17,0.035489935636520385
12.0,10.0,91.656,91.25,91.64,0.036405035495758055
12.0,15.0,91.916,91.39,91.88,0.03561902642250061
12.0,20.0,92.30000000000001,92.17,92.45,0.036178139209747315
12.0,25.0,91.86,91.22,91.64999999999999,0.03689599919319153
12.0,30.0,91.06,90.55,90.84,0.036221028566360475
12.0,35.0,91.768,91.0,91.59,0.04209740400314331
12.0,40.0,92.13,91.72,91.9,0.04046221518516541
12.0,45.0,90.958,90.36,91.03999999999999,0.040294999837875364
12.0,50.0,91.43599999999999,91.21000000000001,91.34,0.03936697554588318
12.0,55.0,89.88000000000001,89.64,89.77000000000001,0.038582911252975464
12.0,60.0,91.282,90.91,91.38,0.03608197283744812
16.0,0.0,92.47800000000001,91.67,91.99000000000001,0.03889399933815003
16.0,5.0,92.91,91.94,92.58999999999999,0.037845990657806396
16.0,10.0,92.916,92.23,92.47999999999999,0.03811200070381165
16.0,15.0,92.63,92.03,92.11,0.03898100328445435
16.0,20.0,92.99199999999999,92.39,92.84,0.03739299869537353
16.0,25.0,92.61,92.2,92.47999999999999,0.03841499805450439
16.0,30.0,92.854,92.11,92.56,0.03685799813270569
16.0,35.0,92.58800000000001,91.84,92.33,0.03705399346351623
16.0,40.0,92.384,91.85,92.01,0.03786500024795532
16.0,45.0,92.85600000000001,92.24,92.4,0.03710699796676636
16.0,50.0,92.252,91.64999999999999,92.15,0.03776700019836426
16.0,55.0,92.58999999999999,92.10000000000001,92.93,0.037474002122879026
16.0,60.0,92.584,92.09,92.74,0.03688999724388123
20.0,0.0,93.134,92.74,92.89,0.044039999961853024
20.0,5.0,93.56,92.58,93.02,0.04064399266242981
20.0,10.0,93.60000000000001,92.9,92.85,0.04431801867485046
20.0,15.0,92.904,92.25,92.75999999999999,0.04269200038909912
20.0,20.0,93.54599999999999,93.02,93.02,0.04160310983657837
20.0,25.0,93.438,92.96,93.27,0.04352300190925598
20.0,30.0,93.67999999999999,93.19,93.64,0.03833095598220825
20.0,35.0,93.172,92.51,92.97,0.040185106992721556
20.0,40.0,93.066,92.60000000000001,92.86999999999999,0.0400030152797699
20.0,45.0,92.838,92.49000000000001,92.88,0.04023400330543518
20.0,50.0,93.13,92.56,92.99,0.04698700022697449
20.0,55.0,92.902,92.58,92.80000000000001,0.04756699776649475
20.0,60.0,92.56400000000001,92.19000000000001,92.49000000000001,0.04726198625564575
